project_id,project_type,state,district,land_area_hectares,affected_families,legal_disputes,pending_approvals,approval_delay_days,compensation_percentage,documentation_percentage,rehabilitation_percentage,possession_percentage,stakeholder_response_percentage,historical_performance_percentage,sia_to_preliminary_months,land_record_update_days,objection_disposal_days,acquisition_cost_deposit_months,preliminary_to_declaration_months,award_duration_months,rr_implementation_months,official_benchmark_breaches,current_stage,latitude,longitude,delay_days,delayed
LA00040,Airport,Punjab,Ludhiana,77.39,73,1,0,31,46.87,48.75,15.88,54.31,45.96,35.49,9.52,87,34,4.7,4.35,19.06,12.78,1,Award,30.856872,75.860801,83,0
LA00041,Industrial Corridor,Uttar Pradesh,Agra,50.07,57,3,2,85,63.42,59.3,50.32,68.9,62.34,36.11,9.46,52,13,4.19,12.93,18.91,13.54,1,Possession,27.049516,77.766345,247,1
LA00042,Power,Gujarat,Vadodara,187.27,327,2,0,87,48.01,57.92,76.05,55.19,47.87,58.91,8.01,41,66,6.92,5.56,15.08,15.09,2,Compensation,22.239947,73.099543,91,0
LA00043,Industrial Corridor,Gujarat,Surat,75.91,48,2,0,33,79.81,72.16,52.74,68.09,72.52,84.23,9.0,45,19,5.59,7.31,22.06,11.95,0,Possession,21.168479,72.903642,364,1
LA00044,Metro,Maharashtra,Nashik,88.58,176,1,2,39,41.23,59.58,55.27,35.18,47.99,45.35,13.01,60,24,2.78,6.01,13.93,10.11,1,Compensation,19.977361,73.831427,309,1
LA00045,Highway,Telangana,Warangal,124.84,156,1,4,107,45.86,19.65,5.14,21.85,31.15,35.9,9.72,101,25,3.81,11.78,17.72,14.23,1,Award,17.915203,79.631498,89,0
LA00046,Highway,Andhra Pradesh,Kurnool,282.03,217,1,1,36,72.72,71.18,46.91,53.68,61.89,66.68,13.34,54,31,2.66,7.27,14.39,11.91,1,Compensation,15.774269,77.991795,85,0
LA00047,Industrial Corridor,Rajasthan,Jodhpur,59.67,30,2,3,184,44.3,63.78,42.24,40.47,46.06,51.58,7.61,85,19,5.39,8.5,22.09,15.06,1,Compensation,26.220015,72.971064,52,0
LA00048,Airport,Tamil Nadu,Coimbatore,70.72,74,1,2,42,75.44,86.64,74.6,71.85,65.06,94.55,10.85,42,39,6.74,9.19,18.68,20.84,2,Possession,10.997784,77.024652,433,1
LA00049,Power,Tamil Nadu,Madurai,63.98,83,2,2,89,55.69,58.14,18.11,55.0,45.63,25.72,10.0,53,62,4.71,10.68,20.88,5.95,1,Compensation,9.942574,78.263069,488,1
LA00050,Power,Rajasthan,Jaipur,47.25,13,0,0,28,34.11,32.71,26.4,51.43,42.99,52.58,10.63,61,80,8.71,9.55,12.31,6.49,3,Award,26.855213,75.685923,341,1
LA00051,Metro,Madhya Pradesh,Indore,50.17,61,1,2,73,73.61,44.77,26.65,38.78,38.54,50.72,14.19,70,51,8.69,10.83,23.82,12.9,3,Compensation,22.718591,75.737004,482,1
LA00052,Railway,Andhra Pradesh,Guntur,43.74,35,0,1,34,57.21,40.41,66.42,55.85,61.01,54.53,7.78,76,14,4.46,9.98,8.38,12.86,1,Compensation,16.138247,80.544912,113,0
LA00053,Railway,Madhya Pradesh,Jabalpur,72.62,83,1,0,47,52.97,58.27,56.26,66.26,51.69,52.42,10.28,62,58,4.33,3.62,35.47,18.65,3,Compensation,23.151746,80.003082,63,0
LA00054,Irrigation,Andhra Pradesh,Kurnool,27.69,27,2,0,64,95.71,79.19,70.95,44.17,79.7,71.91,14.23,47,67,5.13,9.2,14.49,7.83,2,Possession,15.731377,77.957449,24,0
LA00055,Airport,Andhra Pradesh,Vijayawada,64.83,46,2,1,64,43.71,55.02,67.79,75.2,60.76,48.39,9.37,59,62,3.86,6.69,11.54,13.57,1,Possession,16.610473,80.608261,299,1
LA00056,Urban Development,Telangana,Hyderabad,522.49,439,4,1,71,46.97,48.85,55.03,68.75,51.58,68.51,11.34,82,40,4.19,5.45,25.34,13.04,1,Compensation,17.384673,78.642061,452,1
LA00057,Irrigation,Madhya Pradesh,Jabalpur,28.73,15,1,1,68,34.41,47.48,56.29,57.94,36.92,39.88,4.45,56,88,2.99,13.95,25.51,18.69,3,Compensation,23.046381,79.984139,98,0
LA00058,Irrigation,Tamil Nadu,Madurai,81.18,120,1,3,60,72.74,76.95,56.12,45.48,71.2,67.62,6.2,49,35,6.82,6.91,15.36,18.36,2,Compensation,9.941444,78.143146,217,1
LA00059,Power,Punjab,Ludhiana,48.54,66,2,0,25,15.93,50.01,24.48,29.4,48.44,44.26,9.29,75,43,1.93,11.02,15.83,17.46,1,Award,30.918844,75.88109,60,0
LA00060,Airport,Maharashtra,Pune,85.78,37,4,4,92,63.2,76.88,67.79,85.72,56.35,65.84,14.79,60,71,11.68,6.2,15.8,9.02,3,Possession,18.546421,73.724003,459,1
LA00061,Power,Andhra Pradesh,Guntur,342.75,534,3,2,44,58.22,45.8,59.83,25.5,55.52,45.75,6.2,62,32,6.85,7.12,27.22,11.62,2,Compensation,16.354141,80.516373,376,1
LA00062,Industrial Corridor,Madhya Pradesh,Gwalior,20.96,54,1,1,69,70.66,74.54,80.58,65.78,64.48,82.06,9.01,25,22,6.5,11.34,24.94,4.49,1,Possession,26.352573,78.200399,4,0
LA00063,Urban Development,Telangana,Nalgonda,124.32,218,3,1,99,30.8,28.8,43.44,26.51,18.18,43.21,12.08,40,58,6.03,7.71,17.27,12.42,2,Award,17.137284,79.360446,416,1
LA00064,Urban Development,Karnataka,Dharwad,369.65,418,4,0,71,36.28,56.34,50.74,28.03,52.14,50.83,12.57,82,105,5.36,7.14,21.58,15.79,3,Award,15.519642,75.158432,423,1
LA00065,Irrigation,Punjab,Amritsar,98.98,108,1,3,105,81.77,92.15,71.08,56.75,50.41,92.55,10.93,59,9,8.58,10.52,20.47,8.37,1,Possession,31.53175,74.71699,481,1
LA00066,Irrigation,Madhya Pradesh,Gwalior,73.49,68,3,1,96,42.7,44.89,59.02,50.73,54.35,42.43,12.21,97,42,4.23,8.59,26.53,16.6,2,Compensation,26.245818,78.10007,74,0
LA00067,Power,Maharashtra,Mumbai,109.1,181,3,1,53,18.67,31.62,30.6,38.93,38.27,34.77,9.62,92,40,5.5,13.48,19.72,21.15,3,Award,19.053129,73.005306,513,1
LA00068,Highway,Uttar Pradesh,Varanasi,48.45,119,1,0,21,76.28,62.94,54.63,79.69,82.75,68.49,12.09,28,63,4.05,5.75,11.98,4.0,2,Possession,25.297714,82.891176,480,1
LA00069,Airport,Tamil Nadu,Salem,122.98,139,2,2,40,55.55,38.08,20.72,66.74,59.55,45.6,6.06,69,63,6.19,6.31,19.12,14.4,3,Compensation,11.723468,78.211919,16,0
LA00070,Industrial Corridor,Punjab,Patiala,36.48,53,3,2,112,80.45,67.79,83.59,59.62,60.43,75.65,9.58,37,48,5.0,10.56,12.21,9.73,0,Possession,30.241211,76.394411,243,1
LA00071,Metro,Madhya Pradesh,Jabalpur,197.55,228,1,1,46,52.23,53.09,59.54,43.13,51.83,72.68,8.53,54,5,6.57,9.34,5.61,13.35,1,Compensation,23.126718,79.877857,343,1
LA00072,Airport,Rajasthan,Jaipur,20.59,54,3,0,90,77.87,68.49,86.53,55.66,72.01,69.81,11.06,84,59,3.91,8.26,23.53,15.19,1,Possession,26.919475,75.611784,361,1
LA00073,Power,Madhya Pradesh,Gwalior,116.0,146,1,1,53,58.26,72.14,72.45,77.56,70.83,71.93,15.25,66,12,7.72,11.28,21.42,17.82,3,Possession,26.149761,78.248697,472,1
LA00074,Railway,Andhra Pradesh,Kurnool,50.58,74,2,1,117,55.65,59.42,50.34,70.24,68.95,60.18,9.82,76,32,1.55,2.0,28.13,10.99,1,Compensation,15.690503,77.922951,20,0
LA00075,Irrigation,Karnataka,Belagavi,100.23,50,3,1,60,40.08,31.99,28.02,40.01,12.01,44.55,8.57,94,40,4.74,9.56,19.23,18.72,2,Award,15.849647,74.48715,480,1
LA00076,Industrial Corridor,Andhra Pradesh,Guntur,46.95,87,1,2,49,61.23,53.51,29.79,57.01,55.35,65.32,10.34,99,7,6.17,9.32,14.28,14.11,2,Compensation,16.331929,80.523649,415,1
LA00077,Airport,Telangana,Karimnagar,35.51,11,1,1,61,43.46,68.24,59.11,46.13,55.52,58.98,12.88,65,23,7.83,12.3,5.0,11.3,4,Compensation,18.420765,78.976025,403,1
LA00078,Airport,Tamil Nadu,Chennai,74.59,86,2,1,33,54.67,44.72,65.78,31.82,27.87,50.09,11.48,39,39,8.95,9.49,25.34,13.08,1,Compensation,13.050126,80.192453,48,0
LA00079,Industrial Corridor,Rajasthan,Sawai Madhopur,104.57,179,5,0,194,44.84,62.16,69.88,43.38,68.51,52.67,4.13,31,96,7.66,11.18,18.09,12.89,2,Compensation,25.929071,76.35248,372,1
LA00080,Railway,Andhra Pradesh,Visakhapatnam,16.85,20,4,1,53,53.71,54.17,47.9,58.0,56.87,65.62,8.47,88,48,3.91,9.3,13.83,11.46,1,Compensation,17.872731,83.124912,460,1
LA00081,Irrigation,Karnataka,Mysuru,58.93,52,1,2,71,64.11,69.43,44.7,48.04,65.32,59.62,16.05,43,11,3.53,11.6,23.0,14.12,1,Compensation,12.296178,76.546844,16,0
LA00082,Airport,Madhya Pradesh,Indore,8.74,36,3,1,49,66.09,52.71,68.7,71.38,75.23,64.46,8.37,83,63,6.16,12.05,21.99,15.43,4,Possession,22.683658,75.844039,92,0
LA00083,Industrial Corridor,Rajasthan,Sawai Madhopur,20.6,56,2,2,87,51.12,48.67,69.81,51.26,67.31,61.26,7.29,71,83,3.92,7.08,20.17,8.9,2,Compensation,25.977581,76.216925,447,1
LA00084,Highway,Gujarat,Vadodara,52.31,123,1,1,56,58.58,60.18,46.55,63.57,69.79,70.23,10.45,60,32,7.66,4.92,22.41,16.35,1,Compensation,22.238829,73.135443,76,0
LA00085,Railway,Punjab,Ludhiana,47.16,14,3,0,23,87.76,94.45,98.81,78.39,78.58,82.46,3.49,45,23,6.48,9.2,20.13,20.52,2,Rehabilitation & Resettlement,30.924474,75.718942,363,1
LA00086,Highway,Tamil Nadu,Coimbatore,106.47,147,3,1,76,37.91,65.44,76.7,55.49,57.45,70.5,8.63,36,36,8.89,9.06,24.37,13.77,1,Compensation,10.888521,76.871223,71,0
LA00087,Urban Development,Telangana,Hyderabad,55.06,30,4,1,67,56.25,66.02,57.57,34.09,64.53,56.92,7.76,78,47,4.96,12.42,17.23,17.38,2,Compensation,17.413694,78.579144,410,1
LA00088,Urban Development,Punjab,Ludhiana,163.32,178,1,0,31,100.0,70.72,69.21,78.14,61.89,88.82,8.84,64,15,4.42,8.02,19.38,7.77,1,Rehabilitation & Resettlement,30.878488,75.94153,45,0
LA00089,Airport,Punjab,Ludhiana,266.03,138,2,1,47,32.9,42.87,47.26,47.2,58.25,66.98,14.41,49,41,7.38,8.83,26.62,20.01,3,Compensation,30.953577,76.001151,456,1
LA00090,Metro,Andhra Pradesh,Visakhapatnam,75.24,90,1,3,138,22.07,41.96,19.51,48.93,53.28,57.94,7.76,64,81,4.62,11.74,17.86,21.89,3,Award,17.662618,83.413803,506,1
LA00091,Highway,Andhra Pradesh,Kurnool,244.74,440,5,2,135,37.36,26.71,25.84,36.09,19.41,40.08,11.37,69,64,7.71,10.09,17.82,25.59,4,Award,15.797731,78.123631,571,1
LA00092,Irrigation,Tamil Nadu,Coimbatore,33.14,34,1,1,63,46.22,44.24,30.02,25.56,33.8,39.67,6.52,58,40,5.3,8.48,22.0,14.78,0,Award,10.962594,76.979793,469,1
LA00093,Industrial Corridor,Madhya Pradesh,Jabalpur,10.36,5,2,3,50,75.34,76.52,69.82,68.32,73.16,76.18,11.77,44,46,5.7,7.4,23.54,21.9,1,Possession,23.316788,80.008384,150,1
LA00094,Irrigation,Rajasthan,Jodhpur,98.13,73,0,0,170,54.86,60.2,61.71,64.95,67.95,80.06,11.05,34,20,5.2,8.14,14.4,6.09,0,Possession,26.162077,72.979109,25,0
LA00095,Airport,Telangana,Karimnagar,134.77,110,1,2,115,72.8,70.06,65.75,70.3,58.38,84.94,7.64,37,36,3.74,15.64,19.53,12.48,1,Possession,18.497981,79.036012,402,1
LA00096,Highway,Andhra Pradesh,Guntur,88.99,5,0,1,49,57.87,54.5,67.74,34.11,50.69,40.77,9.9,56,5,9.32,2.0,10.69,16.98,1,Compensation,16.410733,80.349215,74,0
LA00097,Industrial Corridor,Maharashtra,Nashik,22.75,5,2,0,57,24.36,43.9,56.56,51.63,40.45,35.68,11.81,58,20,5.48,7.57,25.65,18.2,1,Compensation,19.976163,73.676646,116,0
LA00098,Power,Gujarat,Surat,68.02,79,3,1,31,36.02,39.18,29.88,49.41,43.3,49.24,13.72,25,32,4.45,13.48,30.3,13.78,3,Award,21.09732,72.967721,411,1
LA00099,Power,Gujarat,Rajkot,223.91,300,1,1,50,84.97,71.31,53.3,74.07,77.68,78.12,7.57,55,83,5.62,6.78,13.77,5.04,1,Possession,22.26806,70.894539,151,1
LA00100,Airport,Tamil Nadu,Salem,91.16,38,2,2,53,48.64,64.44,92.7,63.45,64.6,61.6,7.69,37,56,8.13,6.56,17.79,17.49,1,Possession,11.805541,78.134126,354,1
LA00101,Railway,Gujarat,Surat,55.4,75,2,1,111,41.37,72.38,61.94,48.48,72.11,47.87,11.28,47,5,6.85,9.06,25.2,13.66,1,Compensation,21.195868,72.803624,9,0
LA00102,Industrial Corridor,Maharashtra,Nagpur,29.82,51,2,0,12,94.32,77.23,46.89,61.06,85.0,73.26,8.14,42,24,4.44,10.84,30.87,4.2,1,Possession,21.005574,79.04076,21,0
LA00103,Railway,Tamil Nadu,Madurai,37.52,42,2,1,128,65.32,79.23,53.24,53.67,62.86,63.64,8.34,77,55,6.24,6.82,30.73,11.46,3,Compensation,10.104386,78.150036,488,1
LA00104,Power,Andhra Pradesh,Vijayawada,41.28,35,1,3,65,63.36,60.09,66.82,93.49,54.42,74.27,10.05,34,12,7.32,8.24,37.67,17.71,2,Possession,16.535623,80.690936,315,1
LA00105,Metro,Punjab,Amritsar,506.27,656,3,0,65,34.4,50.62,55.54,44.64,22.17,44.0,2.5,77,94,1.18,7.11,28.66,21.77,3,Compensation,31.51414,74.838923,355,1
LA00106,Power,Uttar Pradesh,Kanpur Nagar,128.97,225,1,2,121,25.75,37.68,5.0,39.13,36.81,35.44,9.02,79,18,9.22,5.25,15.26,20.44,3,Award,26.376877,80.381409,550,1
LA00107,Metro,Gujarat,Vadodara,102.68,222,1,0,17,37.27,52.85,37.25,21.26,27.1,43.34,9.33,66,32,4.4,8.78,22.71,13.12,1,Award,22.359417,73.175931,81,0
LA00108,Industrial Corridor,Uttar Pradesh,Agra,27.21,5,6,0,38,32.24,41.02,62.76,73.52,48.18,47.49,13.16,74,63,7.13,17.13,23.65,13.68,5,Compensation,27.22675,77.939789,499,1
LA00109,Metro,Maharashtra,Pune,112.61,60,1,2,124,59.69,79.23,56.1,72.4,73.52,65.89,11.61,53,31,6.81,8.97,35.9,11.19,2,Possession,18.510299,73.958129,450,1
LA00110,Metro,Karnataka,Mysuru,72.42,108,4,0,90,19.8,14.2,18.81,40.1,38.4,31.14,12.86,71,58,8.88,16.33,19.21,6.43,4,Award,12.358324,76.659133,546,1
LA00111,Urban Development,Telangana,Warangal,13.36,24,0,1,64,26.77,63.45,35.57,51.56,40.73,62.1,9.51,31,5,6.49,9.56,19.08,9.35,1,Award,17.906502,79.678501,67,0
LA00112,Airport,Gujarat,Ahmedabad,110.85,87,2,1,30,49.61,79.28,52.62,64.01,64.87,61.94,6.05,37,62,5.61,3.63,9.16,13.25,1,Compensation,23.136004,72.562326,7,0
LA00113,Irrigation,Karnataka,Dharwad,48.62,106,2,2,44,47.27,54.23,60.8,50.58,46.25,55.6,10.42,77,26,6.08,11.02,23.85,14.1,2,Compensation,15.474197,75.105805,29,0
LA00114,Industrial Corridor,Maharashtra,Nagpur,78.35,156,0,0,109,34.17,35.88,46.71,30.47,53.89,50.6,7.18,82,14,2.13,13.54,24.52,16.59,2,Award,21.112139,79.118091,77,0
LA00115,Airport,Andhra Pradesh,Visakhapatnam,79.35,90,3,2,62,65.09,76.2,83.42,71.98,53.26,69.74,9.31,64,21,8.0,9.45,22.55,7.49,2,Possession,17.725791,83.257923,112,0
LA00116,Power,Rajasthan,Jodhpur,42.51,34,0,0,35,38.88,44.5,46.36,56.19,46.42,34.63,9.72,71,41,3.08,3.56,21.75,11.0,1,Compensation,26.154803,72.875407,450,1
LA00117,Irrigation,Telangana,Nalgonda,132.46,175,2,0,33,38.85,49.71,39.86,64.28,39.77,34.82,11.63,73,27,5.9,14.34,19.17,14.78,2,Compensation,16.988715,79.220057,97,0
LA00118,Railway,Madhya Pradesh,Bhopal,118.66,112,2,0,61,52.36,74.02,65.04,68.91,72.81,60.84,12.67,59,82,4.18,12.01,21.19,12.97,3,Possession,23.297255,77.369282,102,0
LA00119,Airport,Tamil Nadu,Salem,54.81,55,0,0,56,49.29,44.77,23.07,43.62,24.31,30.08,7.35,84,41,4.04,2.62,20.05,15.22,1,Award,11.749534,78.206182,77,0
LA00120,Irrigation,Uttar Pradesh,Kanpur Nagar,287.73,490,4,1,48,25.83,35.37,34.24,59.79,13.43,32.42,11.2,55,70,5.46,8.15,36.78,20.25,3,Award,26.460483,80.363644,505,1
LA00121,Metro,Madhya Pradesh,Jabalpur,88.02,63,3,2,104,34.85,64.36,44.71,45.44,46.69,55.1,13.06,109,11,3.87,12.04,32.63,9.19,4,Compensation,23.09259,80.077243,521,1
LA00122,Highway,Rajasthan,Kota,25.13,5,1,0,12,47.93,58.33,42.45,55.88,56.07,65.25,10.31,63,55,6.28,12.14,17.34,12.02,3,Compensation,25.348182,75.877954,356,1
LA00123,Railway,Maharashtra,Nagpur,135.48,83,5,2,108,26.39,38.69,32.29,29.44,34.63,48.81,12.59,60,53,8.13,10.93,18.88,14.62,2,Award,21.127894,79.049232,498,1
LA00124,Highway,Punjab,Patiala,42.32,8,1,1,62,45.35,45.43,39.78,52.69,50.4,60.65,6.61,68,40,5.73,12.84,18.99,12.81,2,Compensation,30.500195,76.314497,64,0
LA00125,Power,Punjab,Amritsar,141.29,221,1,0,11,56.62,29.24,45.32,5.09,34.13,28.1,13.54,40,56,4.35,12.97,15.1,16.94,2,Award,31.672287,74.886556,410,1
LA00126,Airport,Karnataka,Belagavi,37.17,43,0,1,53,83.02,90.69,69.22,51.78,75.77,70.35,12.63,33,62,5.01,11.14,27.61,7.22,2,Possession,15.828919,74.584128,96,0
LA00127,Airport,Andhra Pradesh,Kurnool,164.32,86,3,1,64,50.71,58.53,59.42,46.54,55.41,64.68,3.09,66,18,7.51,7.99,23.14,13.72,2,Compensation,15.763729,78.146791,408,1
LA00128,Airport,Uttar Pradesh,Kanpur Nagar,32.23,35,1,0,28,100.0,82.14,75.72,44.62,61.77,90.12,15.03,87,16,2.19,9.18,19.38,13.85,2,Possession,26.401863,80.327078,81,0
LA00129,Power,Telangana,Nalgonda,156.55,243,3,2,67,41.55,61.69,71.42,70.77,54.73,48.16,12.84,53,95,6.77,5.9,9.7,9.72,3,Possession,16.999049,79.172598,77,0
LA00130,Irrigation,Maharashtra,Nashik,27.73,49,4,0,15,52.68,43.21,41.54,58.54,73.69,55.74,11.72,72,82,5.88,14.88,17.93,12.82,3,Compensation,19.836319,73.778017,28,0
